S No,Station Name,Stn Code,"Old Station
Category","New Station
Category",Division,Zone,District,State,Coordinates
1,BHORAS BUDRUKH,BFJ,F,HG2,BSL,CR,JALGAON,MAHARASHTRA,
2,JAMNER,JMNR,E,HG2,BSL,CR,JALGAON,MAHARASHTRA,
3,ANJANGAON,ANJ,E,HG3,BSL,CR,AMRAVATI,MAHARASHTRA,
4,BANOSA,BASA,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA,
5,BHADSIVNI,BDKE,F,HG3,BSL,CR,WASHIM,MAHARASHTRA,
6,BHAGDARA,BGR,F,HG3,BSL,CR,JALGAON,MAHARASHTRA,
7,BORVIHIR,BRVR,F,HG3,BSL,CR,DHULE,MAHARASHTRA,
8,CHAMAK,CMK,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA,
9,DARWHA MOTI BAGH JN.,DWM,F,HG3,BSL,CR,YAVATMAL,MAHARASHTRA,
10,KAPUSTALNI,KTNI,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA,
11,KARANJA,KRJA,F,HG3,BSL,CR,WASHIM,MAHARASHTRA,
12,KARANJA TOWN,KRJT,F,HG3,BSL,CR,WASHIM,MAHARASHTRA,
13,KHUSTA BUZURG,KSBG,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA,
14,KINKHED,KQV,F,HG3,BSL,CR,AKOLA,MAHARASHTRA,
15,KOHDAD,KDK,F,HG3,BSL,CR,EAST NIMAR,MADHYA PRADESH,
16,KOKALDA,KXD,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA,
17,KOLHADI,KLHD,F,HG3,BSL,CR,JALGAON,MAHARASHTRA,
18,LADKHED,LDD,F,HG3,BSL,CR,YAVATMAL,MAHARASHTRA,
19,LAKHPURI,LPU,F,HG3,BSL,CR,AKOLA,MAHARASHTRA,
20,LASINA,LSN,F,HG3,BSL,CR,YAVATMAL,MAHARASHTRA,
21,LEHGAON,LGN,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA,
22,LING,LING,F,HG3,BSL,CR,YAVATMAL,MAHARASHTRA,
23,MANDURA,MNDA,F,HG3,BSL,CR,AKOLA,MAHARASHTRA,
24,MOHADI PRAGANE LALIN,MHAD,F,HG3,BSL,CR,DHULE,MAHARASHTRA,
25,MORDAD TANDA,MWK,F,HG3,BSL,CR,DHULE,MAHARASHTRA,
26,MURTIZAPUR TOWN,MZRT,F,HG3,BSL,CR,AKOLA,MAHARASHTRA,
27,NOWBAGH,NBGH,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA,
28,PAHUR,PHU,F,HG3,BSL,CR,JALGAON,MAHARASHTRA,
29,PIMPALGAON,PMGN,F,HG3,BSL,CR,JALGAON,MAHARASHTRA,
30,POHE,POHE,F,HG3,BSL,CR,WASHIM,MAHARASHTRA,
31,RAJMANE,RM,F,HG3,BSL,CR,JALGAON,MAHARASHTRA,
32,SANGWI,SWQ,F,HG3,BSL,CR,YAVATMAL,MAHARASHTRA,
33,SHENDURNI,SDRN,F,HG3,BSL,CR,JALGAON,MAHARASHTRA,
34,SHIRALA,SIRL,F,HG3,BSL,CR,AMRAVATI,MAHARASHTRA,
35,SOMTHAN,SMTN,F,HG3,BSL,CR,WASHIM,MAHARASHTRA,
36,TAPONA,TPN,F,HG3,BSL,CR,YAVATMAL,MAHARASHTRA,
37,VARKHEDI,VRKD,F,HG3,BSL,CR,JALGAON,MAHARASHTRA,
38,VILEGAON,VLN,F,HG3,BSL,CR,WASHIM,MAHARASHTRA,
39,WARUDKHED,WRD,F,HG3,BSL,CR,YAVATMAL,MAHARASHTRA,
40,PADLI,PI,NA,"Not open for
passenger
traffic",BSL,CR,NASHIK,MAHARASHTRA,
41,SAGPHATA,SXA,NA,"Not open for
passenger
traffic",BSL,CR,BURHANPUR,MADHYA PRADESH,
42,NASHIK ROAD,NK,A1,NSG2,BSL,CR,NASHIK,MAHARASHTRA,
43,AKOLA JN.,AK,A,NSG3,BSL,CR,AKOLA,MAHARASHTRA,
44,AMRAVATI,AMI,A,NSG3,BSL,CR,AMRAVATI,MAHARASHTRA,
