S No,Station Name,Stn Code,Old Station Category,New Station Category,Division,Zone,District,State,Station (bn),date of official opening,operator,connecting line,coordinate location
1,JAMURIA,JMA,,,ASN,ER,PASCHIM BARDHAMAN,WEST BENGAL,জামুড়িয়া,,Asansol railway division,Andal–Barabani–Sitarampur branch line,23.7138435/87.071532
2,KACHUJOR,KOX,,,ASN,ER,BIRBHUM,WEST BENGAL,কচুজোড়,1913,Asansol railway division,Andal–Sainthia branch line,23.8426777354/87.4650456
3,SIDULI,SXD,,,ASN,ER,PASCHIM BARDHAMAN,WEST BENGAL,সিদুলী,1913,Asansol railway division,Andal–Sainthia branch line,23.6493523213/87.2123263229
4,CHINCHURIYA,CCR,,,ASN,ER,PASCHIM BARDHAMAN,WEST BENGAL,চিচুরিয়া হল্ট,,Asansol railway division,Andal–Barabani–Sitarampur branch line,23.740218/86.9719497
5,ISHAN CHANDI HALT,INCI,,,ASN,ER,PURBA BARDHAMAN,WEST BENGAL,ঈশানচণ্ডী হল্ট,,Asansol railway division,Bardhaman–Asansol section,23.3336497763/87.7396679724
6,LKRA JN.,IKRA,,,ASN,ER,PASCHIM BARDHAMAN,WEST BENGAL,ইকরা,,Asansol railway division,Andal–Barabani–Sitarampur branch line,23.6962789/87.114222
7,MAHISHADAHARI,MWZ,,,ASN,ER,BIRBHUM,WEST BENGAL,মহিষাডহরী,1913,Asansol railway division,Andal–Sainthia branch line,23.916311/87.649654
8,BAKHTARNAGAR,BQT,,,ASN,ER,PASCHIM BARDHAMAN,WEST BENGAL,বক্তারনগর হল্ট,,Asansol railway division,Bardhaman–Asansol section,23.589472222222/87.156416666667
9,CHURULIA,CRA,,,ASN,ER,PASCHIM BARDHAMAN,WEST BENGAL,,,,,
10,GOURANDI,GNI,,,ASN,ER,PASCHIM BARDHAMAN,WEST BENGAL,,,,,
11,PINJRAPOL BH,POL,,,ASN,ER,PASCHIM BARDHAMAN,WEST BENGAL,পিঁজরাপোল হল্ট,,Asansol railway division,Bardhaman–Asansol section,23.549642/87.232307
12,HINDUSTAN CABLE FY.,HCF,,,ASN,ER,PASCHIM BARDHAMAN,WEST BENGAL,,,,,
13,ASANSOL JN.,ASN,,,ASN,ER,PASCHIM BARDHAMAN,WEST BENGAL,আসানসোল জংশন,1863,Asansol railway division,Bardhaman–Asansol section-Asansol–Tatanagar–Kharagpur line-Asansol–Patna section,23.69131/86.974792
14,DURGAPUR,DGR,,,ASN,ER,PASCHIM BARDHAMAN,WEST BENGAL,দুর্গাপুর,1855,Asansol railway division,Bardhaman–Asansol section,23.4953/87.3174
15,ANDAL JN.,UDL,,,ASN,ER,PASCHIM BARDHAMAN,WEST BENGAL,অণ্ডাল জংশন,1855,Asansol railway division,Bardhaman–Asansol section-Andal–Sainthia branch line-Andal–Barabani–Sitarampur branch line,23.579012/87.181194
16,RANIGANJ,RNG,,,ASN,ER,PASCHIM BARDHAMAN,WEST BENGAL,রানীগঞ্জ,1855,Asansol railway division,Bardhaman–Asansol section,23.6037/87.1174
17,BARAKAR,BRR,,,ASN,ER,PASCHIM BARDHAMAN,WEST BENGAL,বরাকর,,Asansol railway division,Asansol–Gaya section,23.7416829/86.818859
18,KULTI,ULT,,,ASN,ER,PASCHIM BARDHAMAN,WEST BENGAL,কুলটি,,Asansol railway division,Asansol–Gaya section,23.737816/86.84887
19,MANKAR,MNAE,,,ASN,ER,PURBA BARDHAMAN,WEST BENGAL,মানকর,,Asansol railway division,Bardhaman–Asansol section,23.420373/87.555822
